-0.090000	1.600000	1
5.460102	42.100000	2
59.250000	82.040000	3
101.200000	126.130000	4
143.050000	162.590000	5
179.600000	207.490000	6
223.170000	256.160000	7
276.450000	308.520000	8
324.470000	365.000000	9
382.770000	407.020000	10
430.060000	465.410000	11
481.640000	501.690000	12
518.460000	538.540000	13
557.140000	591.760000	14
610.050000	631.380000	15
646.410000	672.270000	16
689.450000	736.310000	17
753.890000	778.280000	18
796.410000	822.960000	19
840.340000	865.050000	20
881.790000	906.930000	21
920.610000	958.810000	22
